metric,value
duration,5436.348931944
completed,4090
request_throughput,0.7523431720813853
input_throughput,1709.8229190884745
output_throughput,192.59985205283465
total_throughput,
mean_e2e_latency_ms,42449.141886236685
median_e2e_latency_ms,37578.965618999515
p99_e2e_latency_ms,75364.46369773021
mean_ttft_ms,27708.79013234305
median_ttft_ms,36706.82275950003
p99_ttft_ms,74635.63703619035
mean_tpot_ms,57.80530099566134
median_tpot_ms,-4.910196045838187e-05
p99_tpot_ms,291.22810155671027
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,31.936322058824107
total_input_tokens,9295194
total_output_tokens,1047040
total_input_tokens_retokenized,
total_output_tokens_retokenized,7608
