metric,value
duration,2555.151184012
completed,3996
request_throughput,1.5638996334164597
input_throughput,511.5415511138935
output_throughput,315.70656368496566
total_throughput,
mean_e2e_latency_ms,20100.0674959437
median_e2e_latency_ms,8558.202838999932
p99_e2e_latency_ms,97639.48311830037
mean_ttft_ms,19950.66248482356
median_ttft_ms,8283.96566900119
p99_ttft_ms,97639.56303235074
mean_tpot_ms,5.247805098634825
median_tpot_ms,-0.0006277226463562716
p99_tpot_ms,115.59394997913374
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,31.434488188552447
total_input_tokens,1307066
total_output_tokens,806678
total_input_tokens_retokenized,
total_output_tokens_retokenized,400434
