metric,value
duration,4845.662909173001
completed,3997
request_throughput,0.8248613399073935
input_throughput,419.3248763040311
output_throughput,425.9375938208318
total_throughput,
mean_e2e_latency_ms,38493.9943752902
median_e2e_latency_ms,33803.15280799914
p99_e2e_latency_ms,68521.5809579191
mean_ttft_ms,38076.17891891844
median_ttft_ms,33491.009006998866
p99_ttft_ms,68521.65139623937
mean_tpot_ms,1.112351942154315
median_tpot_ms,-0.00011299443787207768
p99_tpot_ms,63.88079900991736
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,31.75220777878955
total_input_tokens,2031907
total_output_tokens,2063950
total_input_tokens_retokenized,
total_output_tokens_retokenized,800247
