metric,value
duration,5449.827308011001
completed,4000
request_throughput,0.7339682110881165
input_throughput,373.2553134316479
output_throughput,379.08430547205694
total_throughput,
mean_e2e_latency_ms,43407.3500643085
median_e2e_latency_ms,43872.011176499655
p99_e2e_latency_ms,84812.25322911909
mean_ttft_ms,36502.300964961265
median_ttft_ms,36024.19450149955
p99_ttft_ms,84599.43508328
mean_tpot_ms,16.20562203570164
median_tpot_ms,-5.720224736757685e-05
p99_tpot_ms,111.28615932691466
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,31.859615074776148
total_input_tokens,2034177
total_output_tokens,2065944
total_input_tokens_retokenized,
total_output_tokens_retokenized,18146
