metric,value
duration,5795.765519311
completed,4096
request_throughput,0.7067228628129407
input_throughput,1605.9540312642775
output_throughput,180.92105288011282
total_throughput,
mean_e2e_latency_ms,45174.42006207398
median_e2e_latency_ms,37706.379107500194
p99_e2e_latency_ms,73471.2074355004
mean_ttft_ms,28559.938103953376
median_ttft_ms,33191.64498650025
p99_ttft_ms,72884.58572569955
mean_tpot_ms,65.1548312083161
median_tpot_ms,-4.178431232039835e-05
p99_tpot_ms,283.8899611309815
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,31.925795472183264
total_input_tokens,9307733
total_output_tokens,1048576
total_input_tokens_retokenized,
total_output_tokens_retokenized,10862
